,,Sample,ID,MW-100S,MW-1018,MW-1028,Mw-103s,MW-104S,MW-1058,MW-106SR,MW-107S,MW-108S,| MW-109,MW-110S8,MW-111S,MW-112S,Mw-1138,MW-114S,Dupe 1,Dupe 2,Field Blank,Equip Blank,Field Blank,Equipment Blank,Trip,Equip,Field
Vinyl chloride,2,13,,<1,<4,<1,— ~0.81,<1,<4,<4,<4,<1,— 418,<4,<1,10,| 0.79,5,11,3,|<,<1,<1,<1,<1,<1,<1
Bromomethane,10,4.2; [5(M)],,<5,<5,<5,a.,<5,<5,<5,<5,<5,a.,<5,<5,<5,a.,<5,<5,<5,eH,<5,<5,<5,<5,<5,<5
Chloroethane,430,"1,100",,<5,<5,<5,en <0),<5,<5,<5,<5,<5,en <0),<5,<5,<5,en <0),<5,<5,<5,) 5,<5,<5,<5,0.39,<5,<5
Trichlorofluoromethane,"2,600",NA,,<1,<1,<1,ar,<1,<1,<1,<1,<1,a,<1,<1,<1,a,<1,<1,<1,a ee,<1,<1,<1,<1,<1,<1
"1,1-Dichloroethene",7,130,,<4,<1,<1,ef,<1,<4,<4,<4,<1,4,<1,<4,1,<,0.84,1,0.82,ef,<1,<1,<1,<1,<4,<1
Methylene chloride,5,"1,500",,<5,<5,<5,ei,<5,<5,<5,<5,<5,a.,<5,<5,0.11,a.,<5,0.13,<5,0.43,0.41,0.36,0.76,0.22,0.36,0.45
"trans-1,2-Dichloroethene",100,"1,500",,<1,<1,<1,ef,<4,<1,<1,<1,<1,— 0.5,<4,<1,0.28,ef,0.78,0.24,0.83,ef,<1,<1,<1,<1,<4,<1
"1,1-Dichloroethane",880,740,,<1,<1,<1,ar,<1,<1,<1,<1,<1,a eee,<1,<1,0.99,ar,3,1,2,a ee,<1,<1,<1,<1,<1,<1
"cis-1,2-Dichloroethene",70,620,,9,<1,<1,ef,<4,<1,<1,0.11,<1,| 47,<4,0.35,3,| 0.44,127,3,125,|<,<1,<1,<1,<1,<1,<1
Tetrahydrofuran,95,"11,000",,<90,<90,<90,— -<90,<90,<90,<90,<90,<90,— <90,<90,<90,<90,— <90,<90,<90,<90,| =<90,0.22,<90,<90,<90,<90,<90
Chloroform,80,350,,<4,<1,<1,ef,0.71,<1,0.24,<1,0.81,ef,<4,<1,<1,ef,0.22,<1,0.23,|<,<1,<1,<1,<1,<1,<1
Bromochloromethane,NC,NC,,<1,<1,<1,ar,<1,<1,<1,<1,<1,a,<1,<1,<1,a,<1,<1,<1,a ee,<1,<1,<1,<1,<1,<1
"1,1,1-Trichloroethane",200,89,,<1,<1,<1,<4,<1,<1,<1,<1,<1,<4,<1,<1,<1,<,2,<1,2,ef,<1,<1,<1,<1,<1,<1
4-Methyl-2-pentanone (MIBK) |,1800,ID,,<50,<50,<50,— <50,<50,<50,<50,<50,<50,— <50,<50,<50,<50,— <50,<50,<50,<50,| =<50,<50,<50,<50,<50,<50,<50
2-Hexanone,1000,ID,,<50,<50,<50,| <50,<50,<50,<50,<50,<50,| <50,<50,<50,<50,— <50,<50,<50,<50,— <50,<50,<50,<50,<50,<50,<50
Carbon tetrachloride,5.0,38,xX,<4,<1,<1,a ee,<4,<4,<4,<4,2,a ee,<1,<4,<1,a ee,<1,<4,<1,a ee,<1,<1,<4,<1,<1,<4
Benzene,5.0,200,,<1,<1,<1,| 0.26,<1,<1,<1,<1,<1,<4,<1,<1,0.2,<4,<1,0.22,<1,|,<1,<1,<1,<1,<1,<1
"1,2-Dichloroethane",5.0 (A),360 (X),,<1,<4,<1,a ee,<4,<1,<1,<1,<1,a ee,<4,<1,<1,a ee,<1,<1,<1,a ee,<1,<1,<1,<1,<1,<1
Trichloroethene,5.0,200,,16,2,0.16,<4,<1,<1,<1,0.15,0.14,13,<1,6,6,7,335,6,350,|,<1,<1,<1,<1,<1,<1
"1,2-Dichloropropane",5.0 (A),230 (X),,<1,<4,<1,a ee,<4,<1,<1,<1,<1,a ee,<4,<1,<1,a ee,a. ee,<4,+ ee,a,<1,<1,<1,<1,<4,<1
Bromodichloromethane,80.0,NC,,<1,<1,<1,<4,0.17,<1,<1,<1,<1,<4,<1,<1,<1,<4,<1,<1,<1,|,<1,<1,<1,<1,<1,<1
Dibromomethane,230,NA,,<5,<5,<5,eR,<5,<5,<5,<5,<5,eB,<5,<5,<5,eR,<5,<5,<5,eR,<5,<5,<5,<5,<5,<5
"cis-1,3-Dichloropropene",NC,NC,,<1,<1,<1,<4,<1,<1,<1,<1,<1,<,<1,<1,<1,<,<1,<1,<1,ef,<1,<1,<1,<1,<1,<1
Toluene,790,270,,<1,<1,<1,as ee,<1,<1,<1,<1,<1,as ee,<1,<1,<1,as ee,<1,<1,<1,a ee,<1,<1,<1,<1,<1,<1
"trans-1,3-Dichlorooropene",NC,NC,,<1,<1,<1,<,<1,<1,<1,<1,<1,<,<1,<1,<1,<,<1,<1,<1,ef,<1,<1,<1,<1,<1,<1
"1,1,2-Trichloroethane",5.0 (A),330 (X),,<1,<4,<1,a ee,<4,<1,<1,<1,<1,a ee,<4,<1,<1,a ee,<1,<4,<1,a ee,<1,<1,<1,<1,<4,<1
Tetrachloroethene,5.0,60,,<1,<1,<1,<4,<1,78,<1,<1,<1,<,<1,<1,<1,<,0.2,<1,0.18,ef,<1,<1,<1,<1,<1,<1
"trans-1,4-Dichloro-2-butene",NC,NC,,<1,<1,<1,as ee,<1,eq,<1,<1,<1,a ee,<4,<1,<1,a ee,<1,<4,<1,a ee,<1,<1,<1,<1,<4,<1
Dibromochloromethane,"80 (A,W)",ID,,<5,<5,<5,ens),<5,<5,<5,<5,<5,4s),<5,<5,<5,4s),<5,<5,<5,| 5,<5,<5,<5,<5,<5,<5
"1,2-Dibromoethane",NC,NC,,<1,<4,<1,a ee,<1,<1,<1,<1,<4,a ee,<1,<1,<1,as ee,<1,<1,<1,eq,<1,<1,<1,<1,<4,<1
Chlorobenzene,100,25,,<1,<1,<1,| 0.53,<1,<1,<1,<1,<1,<4,<1,<1,<1,<,<1,<1,<1,ef,<1,<1,<1,<1,<1,<1
"1,1,1,2-Tetrachloroethane",7?,ID,,<1,<4,<1,ae,<1,<1,<1,<1,<4,a ee,<1,<1,<1,as ee,<1,<1,<1,a ee,<1,<1,<1,<1,<1,<1
